content,min,max
45000,45000,45000
content,min,max
45000,45000,45000
content,min,max
40000,40000,45000
content,min,max
55000,40000,55000
content,min,max
45000,40000,55000
content,min,max
40000,40000,55000
content,min,max
35000,35000,55000
content,min,max
30000,30000,55000
content,min,max
45000,30000,55000
content,min,max
40000,30000,55000
content,min,max
45000,30000,55000
content,min,max
45000,30000,55000
content,min,max
45000,30000,55000
content,min,max
45000,30000,55000
content,min,max
35000,30000,55000
content,min,max
65000,30000,65000
content,min,max
65000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
65000,30000,65000
content,min,max
65000,30000,65000
content,min,max
50000,30000,65000
content,min,max
50000,30000,65000
content,min,max
40000,30000,65000
content,min,max
45000,30000,65000
content,min,max
45000,30000,65000
content,min,max
40000,30000,65000
content,min,max
40000,30000,65000
content,min,max
45000,30000,65000
content,min,max
50000,30000,65000
content,min,max
45000,30000,65000
content,min,max
40000,30000,65000
content,min,max
40000,30000,65000
content,min,max
40000,30000,65000
content,min,max
65000,30000,65000
content,min,max
40000,30000,65000
content,min,max
55000,30000,65000
content,min,max
50000,30000,65000
content,min,max
65000,30000,65000
content,min,max
45000,30000,65000
content,min,max
55000,30000,65000
content,min,max
55000,30000,65000
content,min,max
45000,30000,65000
content,min,max
50000,30000,65000
content,min,max
40000,30000,65000
content,min,max
40000,30000,65000
content,min,max
45000,30000,65000
content,min,max
45000,30000,65000
content,min,max
40000,30000,65000
content,min,max
40000,30000,65000
content,min,max
40000,30000,65000
content,min,max
30000,30000,65000
content,min,max
30000,30000,65000
content,min,max
30000,30000,65000
content,min,max
45000,30000,65000
content,min,max
50000,30000,65000
content,min,max
40000,30000,65000
