title,chapter
[T1] Thuần Tình Nha Đầu Hoả Lạt Lạt - Chinh phục Lạt Dao Dao,"
[Chapter 442]
"
[T1] Lam Sí - 蓝翅; Blue Wings; Lan Chi,"
[Chapter 178]
"
[T1] Bá Tình Ác Thiếu: Dạy Bảo Tiểu Đào Thê,"
[Chapter 245]
"
[T1] Ma Nữ - Yaoguai Mingdan - Yêu Quái Danh Đơn; Danh Sách Yêu Quái,"
[Chapter 130]
"
[T1] Thần Y Đích Nữ,"
[Chapter 169]
"
[T1] Hào Môn Đệ Nhất Thịnh Hôn,"
[Full Bộ]
"
[T1] Tam Sinh Tam Thế - Thập Lý Đào Hoa,"
[Chapter 39]
"
[T1] Đế Thiếu Đừng Mạnh Quá,"
[Chapter 56]
"
[T1] Luyến Ái Tư Hữu Vật - Yêu Đương Tư Hữu Vật,"
[Chapter 15]
"
[T1] Cực Phẩm Manh Nương Thật Uy Vũ,"
[Full Bộ]
"
[T1] Tình Yêu Này Không Bán,"
[Chapter 39]
"
[T1] Lam Sí Ngoại truyện,"
[Chapter 11]
"
[T1] Nam Thần Ở Phòng Bên Cạnh,"
[Full Bộ]
"
[T1] Công Tử ! Không nên a !,"
[Full Bộ]
"
[T1] Công Tử Hãy Ở Lại,"
[Chapter 6]
"
