title,platform,metascore,userscore,release_date
Resident Evil 2,XONE,93,8.4,"Jan 25, 2019"
Sekiro: Shadows Die Twice,XONE,91,8.0,"Mar 22, 2019"
NieR: Automata - Game of the YoRHa Edition,PS4,91,8.4,"Feb 26, 2019"
Resident Evil 2,PS4,90,8.7,"Jan 25, 2019"
Sekiro: Shadows Die Twice,PC,90,7.7,"Mar 22, 2019"
Devil May Cry 5,PC,90,8.8,"Mar  7, 2019"
Sekiro: Shadows Die Twice,PS4,90,7.9,"Mar 22, 2019"
Resident Evil 2,PC,89,9.0,"Jan 25, 2019"
Slay the Spire,PC,89,6.6,"Jan 23, 2019"
Apex Legends,PS4,89,6.8,"Feb  4, 2019"
Apex Legends,PC,88,6.1,"Feb  4, 2019"
Devil May Cry 5,PS4,88,8.5,"Mar  8, 2019"
Blaster Master Zero II,Switch,88,8.4,"Mar 20, 2019"
Apex Legends,XONE,88,6.7,"Feb  4, 2019"
Assault Android Cactus+,Switch,87,8.5,"Mar  8, 2019"
Devil May Cry 5,XONE,87,7.3,"Mar  8, 2019"
Downwell,Switch,87,7.0,"Jan 31, 2019"
Baba Is You,PC,87,8.1,"Mar 13, 2019"
MLB The Show 19,PS4,86,7.1,"Mar 26, 2019"
Steins:Gate Elite,PS4,86,7.7,"Feb 19, 2019"
Sunless Skies,PC,86,6.4,"Jan 31, 2019"
BlazBlue: Central Fiction - Special Edition,Switch,86,8.3,"Feb  7, 2019"
Devotion,PC,85,7.3,"Feb 19, 2019"
DiRT Rally 2.0,PC,85,5.3,"Feb 26, 2019"
Guacamelee! 2,XONE,85,4.8,"Jan 18, 2019"
Tom Clancy's The Division 2,PC,85,6.5,"Mar 15, 2019"
Steins:Gate Elite,Switch,85,7.4,"Feb 19, 2019"
Trials Rising,XONE,85,5.3,"Feb 26, 2019"
DiRT Rally 2.0,PS4,84,5.8,"Feb 26, 2019"
Wargroove,Switch,84,7.4,"Feb  1, 2019"
Ape Out,Switch,84,5.8,"Feb 28, 2019"
Baba Is You,Switch,84,8.0,"Mar 13, 2019"
Kingdom Hearts III,PS4,83,8.0,"Jan 29, 2019"
Final Fantasy VII,Switch,83,8.3,"Mar 26, 2019"
Trials Rising,PC,83,5.3,"Feb 26, 2019"
Tetris 99,Switch,83,8.4,"Feb 13, 2019"
Operencia: The Stolen Sun,XONE,83,7.8,"Mar 29, 2019"
Metro Exodus,PC,83,6.8,"Feb 15, 2019"
Ape Out,PC,83,6.4,"Feb 28, 2019"
Wargroove,PC,82,5.9,"Feb  1, 2019"
Hypnospace Outlaw,PC,82,6.4,"Mar 12, 2019"
OlliOlli: Switch Stance,Switch,82,8.3,"Feb 14, 2019"
Tom Clancy's The Division 2,PS4,82,7.2,"Mar 12, 2019"
The Messenger,PS4,82,7.7,"Mar 19, 2019"
Swords & Soldiers II: Shawarmageddon,Switch,82,tbd,"Mar  1, 2019"
Tom Clancy's The Division 2,XONE,82,7.3,"Mar 12, 2019"
DiRT Rally 2.0,XONE,82,7.6,"Feb 26, 2019"
Metro Exodus,XONE,82,6.5,"Feb 15, 2019"
Ghost Giant,PS4,82,7.0,"Apr 16, 2019"
Phoenix Wright: Ace Attorney Trilogy,PC,82,8.0,"Apr  9, 2019"
The Legend of Heroes: Trails of Cold Steel,PS4,82,9.0,"Mar 26, 2019"
Unravel Two,Switch,81,8.4,"Mar 22, 2019"
Phoenix Wright: Ace Attorney Trilogy,XONE,81,8.4,"Apr  9, 2019"
Stellaris: Console Edition,XONE,81,7.9,"Feb 26, 2019"
